Ngày,Lý do chi, Số tiền,Ghi chú,Điều kiện,Đầu tháng,,Số dư,"2,259,000"
2011-04-17,Linh tinh,"2,000",Chewingum,0,,,,
2011-04-17,Linh tinh,"220,000",Xem phim cùng Trúc và các bạn Gameloft,0,,,,
2011-04-17,Linh tinh,"68,000",Bỏng ngô,0,,,,
2011-04-17,Gửi xe,"3,000",,0,,,,
2011-04-17,Cà phê,"50,000",Gameloft + CG,0,,,,
2011-04-18,Ăn sáng,"18,000",,0,,,,
2011-04-18,Ăn trưa,"13,000",,0,,,,
2011-04-18,Đổ xăng,"40,000",,0,,,,
2011-04-19,Linh tinh,"40,000",Thuốc,0,,,,
2011-04-19,Ăn sáng,"13,000",,0,,,,
2011-04-19,Ăn trưa,"15,000",,0,,,,
2011-04-20,Ăn sáng,"10,000",,0,,,,
2011-04-20,Ăn trưa,"15,000",,0,,,,
2011-04-21,Ăn sáng,"18,000",,0,,,,
2011-04-21,Đổ xăng,"40,000",,0,,,,
2011-04-21,Ăn trưa,"13,000",,0,,,,
2011-04-21,Linh tinh,"13,000",Thuốc,0,,,,
2011-04-21,Linh tinh,"9,000",Kẹo cho Minh Quốc + Hải Triều,0,,,,
2011-04-22,Thu tiền mượn,"-2,000,000",Chị Hai,0,,,,
2011-04-22,Ăn sáng,"16,000",,0,,,,
2011-04-22,Ăn trưa,"15,000",,0,,,,
2011-04-23,Ăn sáng,"7,000",,0,,,,
2011-04-23,Linh tinh,"13,000",Thuốc,0,,,,
2011-04-23,Đổ xăng,"30,000",,0,,,,
2011-04-24,Ăn sáng,"7,000",,0,,,,
2011-04-24,Linh tinh,"3,500",Báo,0,,,,
2011-04-24,Cà phê,"40,000",Offline Vietguitar,0,,,,
2011-04-24,Linh tinh,"100,000",Mắt kiếng,0,,,,
2011-04-25,Ăn sáng,"18,000",,0,,,,
2011-04-25,Linh tinh,"44,000",Sữa,0,,,,
